"come watch Poseidon's stream with us Live 
"
"Real or fake.....todays news doesnt take away the crimes of isreal and Their hate for goyim,,,,,this just wakes more people up"
"If my Gab account suddenly disappears coincidentally during the time that I'm exposing Robert Bowers TRUE Gab activity, let me be clear:

I have no intention of deleting my Gab account or breaking the rules to have my account suspended for any reason!"
"Hey guys?

Next time there's an obviously fake false flag bombing campaign, maybe we should pretend to believe it.

Because it seems that when we don't, they false flag a very real mass shooting."
"If any of our International friends would like to join us in wearing black on 29/10, remembering those murdered during #FarmAttacks it would really be appreciated. 
If you share it please use the hashtag #BlackMonday

The reason, each cross represents a murdered farmer 
"
I like Ike
Never stop criticizing Jews and their evil.
"Immigration problems?

Hordes of 3rd Worlders heading your way?

America can only become un American with a (((little))) help. 

"
"Jewish refugee resettlement agency: Let’s bring Rohingya Muslims to Pittsburgh (to increase diversity!)
 

There is a dichotomy in Jewish efforts to facilitate open borders and refugees. The above page, at Resettlement Watch, discusses an area of pernicious muslims that the identified agency was bringing, of all places, to Pittsburgh. 

Rather than Conservatives clamming up, as they are wont to do, we need to have these Jewish immigration services identify the incessant call for muslims. I'm not aware of any protest against obama for his refusal to admit Christians, something just isn't right. "
Congratulations to the FBI on finding a really flamboyant patsy for this bomb scam.
"Live in moments! Don't miss this one! Art Jones is taking your calls!

"
"Interview with Dr. KENT HOVIND..Creationism..

Activist-News 2 Youtube....Join Us😎

"
"Everyone follow  

He's a good Goy."
"Best Goyim Goddess song ever!
Also known as Shiksa Goddess 
"
"Better wake up White man. They'll take our guns if we don't stop demographic change!
14words
"
☀️ ࿕ ☀️
"About to go on Radical Agenda with  for a roundtable and taking questions from the audience. Go here to hear:

"
"GabTV still garbage, sadly. Listen here

"
"Mogadishu? No, Paris under Macron."
"PATRICK LITTLE on the Campaign Trail in

California 

VOTE PATRICK LITTLE JUNE 5TH IN CALIFORNIA 

"
AND PATRICK LITTLE IS LIVE😎
"PATRICK LITTLE IS LIVE

little revolution......Youtube"
"I'll explain ....Stephen (Tommy)Lemon is a Fag....

Oliver is a Fucking Fag......Fags....CANT 

BE TRUSTED......WE GOOD 😎"
WELCOME VOLK.....YOU RAYCISS😎
Stephen Lemon.....FUCK TIMMY😎
"Why Now.....Right before JEWN 5TH 

TRS and Striker....SUPPORT PATRICK LITTLE

FOR SENATE against Jewstein?....jus assing"
"Shoad a Year ago.....Then.....You ...Know

1488😎"
"LIVESTREAM: Patrick Little LIVE from Diane Feinstein's neighborhood

 

LittleRevolution.us 

#VoteLittleWinBig #Politics #Livestream #FreeAlisonChabloz"
"Well then......FUCK YOU FAGGOT ......😎

NOT THAT THEIRS ANYTHING WRONG WITH THAT😎"
LITTLE dog 😎
LIVE RIGHT NOW😍😍😍😍😍😍
PATRICK LITTLE IS LIVE😍😍😍😍😍
LIVE LIVE LIVE😍😍😍😍😍😍😍😍
LIVE RIGHT NOW😎😎😎
"&gt;WHEN THE DESCENDANTS OF SLAVES THAT YOU BROUGHT OVER 400 YEARS AGO VOTE YOU OUT OF POWER

 

              "
"youtu.be/nigSQLZ0q04

WHAT THE FUCK IS WRONG WITH YOU CALI GOYS???

WHY DOESN'T  HAVE A TEAM OF A DOZEN HELPERS WITH HIS FLIERS IN FEINSTEIN'S HOOD?

              "
"No buddy, Israel is a terrorist state. Don't try your hasbara on me."
"SOON

                         "
LIVE FAM
"Some libtard on the street vs.

 

""Just because you can't disprove it, doesn't mean it's not true.""

LOLWUT?

This nigga shook!

"
That awkward moment when you're in the bank talking to a black representative about the complaints your racist business is going to receive if they provide you with merchant services
You tough as MILTI NIGS......WISH YOUR KIDS TONT GET RAPPPPPPPED ....# METOO
"DONT SHOOT THE SQUIRREL.....

NEVER😎😍😎"
"Ursula Haverbeck is a political prisoner. She asked the wrong questions about history in Germany. She is jailed with 89. questions!  ""People""  rape &amp; kill and nothing happens to them. It should bother everyone. But people are quite. Everywhere in the so called democratic nations. 89 years old people are now the front line of resistance. Normies are a shame."
A more honest flag of #Israel.
"DO IT, FAGGOT!"
I support our troops but not the government that abuses them.
"Im Good.....Have you got off your potty Chair

Pops..... Ill send Help......"
"Bomb....bonb...bomb....lol

Jump"
"I have a Few Words.......You dumb niggerz are fucked....  this TRAITOR GETS  .... 7 MILLION

DOLLARS.....LOL.....AND ....YOU BUY ALdlis"
"My Only QUESTION...........I VOTED FOR TRUMP....... BECAUSE I HATE YHE DEVIL

NO WALL

NO ARRESTS

YOU SUPPORT israHELL

WE HATE THE MIDDLE EAST

BRING MY BROTHERS HOME

I HAVE FEW WORD'S 

NO MORE BROTHER WARS...... BRING MY BROTHERS HOME........IF YOU SUPPORT FAKE ISREAL....YOU ...AS A FAKE PRES...R  . DONE"
"Listen NIGGER....NAME THE JEWISH ENEMY

OR ....FUCK ...YOU...KIKE"
"And A JEW

.....#TGSNT"
I love You Brother
Ive Watched you for a While...i think you are anti jew.....i cant spel
"I acutally hate this....We should be celebrating 

This Year.....MF"
Azz....I truly need Charlottesville  4 0 to Be Successful....Kessler is fucking it up
"And I LOVE,YOU....NEXT YEAR....WE,WILL HAVE, A THOUSAND.......GOD BLESS YOU PAT"
Cheney
This Nigger is a Fag for Sure...😍
"YOU ARE OFFICIALLY A JEW HEEB...

WE HATE YOU...TRY AGAIN JEW"
Silverdawn iz Non stop Blast...himmmmm
"Pretty Neat how A MF like YOU is JUMPING IN........

YOU GOT LOOT...."
I dont like Cats....but i like FRED
"Ok ...so....Everyone is Timid....GOTCHA 

Ill where My 1488 adolf shirt every fucking day

You niggers...lets go.....Cantwell....PUT HIS LIFE ON THE LINE FOR US....."
You Kipper
"AND A JEW....JUST SO YOU KNOW

GOYIM ...   YOU NIGGERS WILL PAY THE PRICE......YOU AND ME BOTH........

HERES THE GOOD NEWS .....WE DONT GIVE A FUCK ABOUT A CHOSEN NOBODY.....LOL

LIES .ALL LIES.....#TGSNT"
MF...YOU WIN....DAMN SAM.....UNCLE ALREADY😍
Damnit ...i wanted to Fuck with You...MF
"A TRULY BAD MAN

..SORRY ....YOU GOT ME....MF"
I understand...ill say this....asgggy hjj bgvjjfcbhjfrdbjjh cbjhdtjkbccgj Jud 7 gdcbh
"You are Useless...i dont apologize for That

Blame anybody but the Future.....You Sir ...

A stimied Jew or A fag....drink Bleach....

Is all i can help"
911 .911.911.911
So English is Hard...ok....That doesn't Help the Cause that foreigners Want to Help .....You  have Dollars...Great...if Not....Love your Own COUNTRY
"Kills You....ok then.......Americans all believe 

Listen Brother....ive known for years....and dont make policy ....i wish i did .....1488"
"No........If you or I Understood the TRUTH 

AND YOU HAVE ZERO INCOME....

WHAT GOOD ARE YOU?"
"Theres 2 ways to look at CHARLELETTVVILLE 4

Not 2...as kessler keeps Pushing..........

WE WILL MOVE FORWARD....BECAUSE CHARLOTTESVILLE  WAS A SUCCESS 

OR ....UNITE THE RIGHT IS GONE"
YEAH.....WE ARE ALL NAZI'S......FINALLY
David James ...send me a message...we good
"My Brothers is in independence...but ...hes oblivios....😍

"
I ACTUALLY LOVE YOU SIR !   PLEASE KEEP GOING😍😍😍😍😍😍😍😍
"And in America....

And ive Lived all across this Great Country

WHY WOULD NOT LIVE IN ST LOUIS

I ASKED MY PARENTS WEEKS AGO IN UTAH

.....ANSWER........I WOULDNT LIVE THERE BECAUSE OF THE CRIME....NO SHIT SHERLOCK"
"IM NOT WHITE ....IM JEWISH.....REALLY

"
Im here All Week......😍
"If You post This Isreal LOVING faggot

We are Done"
"Lol.....The Lawyers are..........?....Do you Honestly believe A Nice Way is Coming.....I digress

FOOD.WATER.SHELTER.ARMZ.MEDICINE"
Stop it......Catholic Christians fought hundreds of Years for Europe....Stop it....
"Make posters....Make Stickers....MAKE SIGNS....T SHIRTS....Make memes

Make IT BEEN KNOWN.....WE ARE NOT GOING AWAY.....PERIOD😎

.."
"Actually Cantwell is CORRECT......WE MUST NOT FEAR......OUR KIDS MUST NOT FEAR

OR ITS GET WORSE....DO YOU WANT YOUR KIDS TO BELIEVE YOU DIDNT STAND UP?

STAND UP ......HAIL CANTWELL !"
And WE LOVE you're GONE
GLASS HOUSE....I SEE...MOVE ALONG
"VIDEO: Muslim Activist Asks Why Britons Fear Islam –

Then Beats Heads at Speakers’ Corner after Tommy Robinson Speech

"
"YOU NIGGER NEVER MADE A MISTAKE

WOW....JESUS IN THE HOUSE"
"Ill play along.....Should Jews Exist......

Jus Assing"
Youre A JEW....GOTCHA
Leave it alone Folk
"PATRICK LITTLE  WAS .....ONE OF VERY FEW 

THAT GAVE AIPAC HELL....THIS SHOULD NEVER HAPPEN AGAIN......WE WILL MOBILIZE IN FORCE NEXT YEAR.....SPEND YOUR MONEY  WISELY ON PAT LITTLE...NOW GOY"
We need a hero now more than ever.
Adolf Hitler with his pure blood German Shepard Blondi.
"NAME THE REAL ENEMY...the jew...GOY

"
Hoax me GENTLY.....EVERYONE SMILE
"Listen FAGGOT ....You Seem Smart ENOUGH

AT TIMES...that being said......QUIT LIEING FAG AND DO SOME RESEARCH.....#TGSNT

COMMUNISM BY THE BACK DOOR

YOURE WELCOME😍....THANK ME LATER"
"STOP LIEING NIGGER....HITLER TOOK GUNS

FROM THE JEW TRAITORS....I WOULD TOO

FED....AIPAC....#Hgyjigt......HOWS THE COUNTRY LOOKING.....FAGS EVERYWHERE

WHICH BATHROOM....ILLEGALS NON STOP

RAPES...MURDERS.....KEEP BELIEVING ALL OF US ARE EQUAL.....GO RIGHT AHEAD...

BUT MUH CONSTITUTION.....LOL...IDIOT"
NAME THE JEW OR DISAPPE.....
"""I'M TRYING!"""
"#DearMrsTrump...

Please Say Something

#NationUnderAssault

 

The United States has been #SilentTooLong

               "
"#TuckerHighlights 3/16/18:

- Kate Steinle's murderer accuses US govt of ""vindictive prosecution""
-&gt; Steinle's murderer was acquitted by CA SJW jury because ""feelz""
-&gt; US govt is now persuing alternate charges against Steinle's murderer
-&gt; Leftard guest says Trump used Steinle's murder to villify illegal aliens
-&gt; Mark Steyn tells guest he's giving ""the fluffy bunny talking points""
- Commifornia beyond fulltard: Appoints illegal alien as State employee
-&gt; Illegal alien is also a lawyer on the Commifornia's bar of attorneys
-&gt; CA appears to have 2 sets of laws: 1 for regular folk &amp; 1 for illegal aliens
- Comrade Pelosi is outraged because Trump's beautiful wall is too high
-&gt; Pelosi says a wall that high is ""obnoxious"" in a civilized society
-&gt; Pelosi thinks it's easier to stop illegals with short grass than a high wall
- Andrew McCabe's retirement benefits are in hands of AG Jeff Sessions
-&gt; FBI's Office of Professional Responsibilty calls for McCabe to be fired
-&gt; FBI's OPR says McCabe allowed agents to talk to the press about HRC
-&gt; McCabe can retire at age 49 with full benefits on 3/18/18 if he's not fired
-&gt; If McCabe doesn't get fired, it would mean FBI execs are above the law
-&gt; Mike Flynn faces jail for actions far less serious than what McCabe did
- Louis Farrakhan is sweetheart of DEMs despite his hateful biggotry
-&gt; Todd Rokita(R) introduces resolution in House to condemn Farrakhan
- German food bank overwhelmed by migrants flooding Europe
-&gt; Essen's Syrian population has grown from 1300 to 10K+ in 2 years
-&gt; Destitute German citizens go hungry in favour of invading migrants
-&gt; One Essen food bank denounced as Nazis for refusing more migrants
- Special edition of 'Men in America' segment with Mike Rowe
-&gt; Rowe says when men don't work, ""their soul slips out of them""
-&gt; Men have become disconnected from their fathers and grandfathers
-&gt; Society doesn't value work as an inherent virtue anymore
-&gt; People have been brainwashed into believing less work == happiness
-&gt; 6million trade jobs aren't being filled because they're deemed ""unworthy""
-&gt; It's not WHAT you do but the fact that you do it, that brings happiness
- Family gets reunited with their dog after United airlines sent it to Japan 

-

Check out  #TuckerAnalysis

cc:                                                                                      
             
Don't wanna see these? Then mute: #IDontWantToSeeTuckerH"
I waited All last year...until summer ..its Great....and i Support....i had no choice
"Its A Wonder...Much like like Zionist Tommy Robinson or Britian First....I understand somewhat.....They Have No Armz....That being Said....Alfred Schafer....LIVES IN GERMANY....AND HE IS A REAL HERO AND

WILL GET A FUCKING STATUE!"
"If our renaissance succeeds, #Gab will be remembered a place where a daring intellectual elite gathered in true resistance and formed the core of how the west was renewed.

We are our best hope."
"April May June ...brings something....Not 

Truth tho.....October for Vegas.  Lol😍

FUCKING TRAITORS"
Ty brother
"If You Havent Seen THIS DOCUMENTARY 

PLEASE PLEASE WATCH.....😍😘😄😎😋😊😉😆🤔🤔🤗😎😋😊☺🙂🙂🤗🤔🙂☺🙂

The Impartial Truth....Youtube

"
ALERT ...ALERT...ALERT.....HELLO NORMIES😍
AWWWWWWEEEE....THIS IS A GOOD ONE😎
AMEN
FOOD.WATER.SHELTER.ARMS.MEDICINE
"I have Family who are staunch Mormans

and sent this Link ...many times.....Saying....He must be The Luckiest Man Ever....Or....

HES A FUCKING LIAR.....WOW ...A MIRACLE"
"A beings Soul is PRICELESS....I Hope it was

Worth it ! 😥"
"Seen em All......Boston....Orlando....Brussels

Even the Mormon kid in Utah ....lol

Unfuckingbelievable....i Wrote nasty comments for years

"
"Does ANYONE understand this.....I dont get it !

Where and when did this Happen ?"
Bastardos.......😘😍😋😃😎😋😊😂😁
Go watch it....fn...bastards
"One More......This is July 1st.....A few weeks after The  ORLANDO  Hoaxathon.....I still cant BELIEVE this Shit....lol....

Wont Upload...go FIGURE.....KEEP DANCING ORLANDO.....ORLANDO SHERIFF'S DEPT

SICK BASTARDS

"
"OH YOULL LOVE THIS THEN....😍

"
WISH BURNINGS WERE REAL....HOLAHOAX
WOW....AWESOME....BUT NO I DONT TRUST YOU....#TGSNT...YOURE WELCOME😎
SHUT UP DONNIE😎
"File this under How Fucked Up Is California?

Illegal Attorney Gets State Position in California
And Democrat collaborators help Mexico win big.



Maybe the San Andreas should shake, rattle and roll.

#TRUMP #MAGA"
"&gt;building the wall

&gt;deporting shitskins

&gt;death penalty for drug dealers

&gt;space force in the making

&gt;the far right has never been this big

&gt;Jews have never been this hysterical

AVE TRVMP! AVE CAESER! AVE DIVVS IMPERATOR!"
"A 65-y/o woman in Sweden is facing jail time over a few factually correct Facebook posts that the police deemed “offensive.”

Police interrogated her multiple times, raided her home, and took her property.

While walking home from an interrogation, she was assaulted by a gang of refugee children - breaking her back and fracturing her skull. The police can’t find her attackers though, they’re too busy with other “investigations.”"
LUCKY #88 UPVOTE.....WINNER😍
"SING MCCABE SING....😎...3 mins

My WAY......😍..........3 TENORS

"
seamrog😍😘😍🤣😂😗😙😍😘😄😃🤣
"911 dekunked in 5 mins Flat

 

"
"HOAX ME GENTLY...HOAX ME SLOWLY

....ANOTHER DRILL HAS GONE LIVE...😍😍😍

Classic....If you LAUGH...YOU LOSE !😍😍😍

"
Its in the STAR...........WINK WINK😉
And a Commie
"PLEASE GOD....GRANT ME THE WISDOM.........

.........to NOT HATE MOST EVERYBODY

tomorrow 😍"
glow in the dark cia niggers wtf you doing
"After we break the MSM, we need to break the whole paradigm foisted upon the American mind by the television:"
"THIS IS FUN......I MISS TEXAS SHRUGGED

GOD BLESS YOU MATT😍😍😍😍😍

"
"HOAX ME GENTLY....CLASSIC .....😍😍😍😍😍😍😍😍😍😍😍

"
HOAX ME BABY😍
Their cruelty is only exceeded by their barbarity
"STILL LIKE NIGGERS AND JEWS......

JUS ASSING😥"
"Nope.

..JEWS are STILL in THE POLE POSITION😣"
I LOVE YOU WHITE DOGGIE....😍
                           
"Land expropriation without compensation means that black gangs -- the ones currently carrying out brutal farm attacks -- now have political permission to carry out murder and torture



#WhiteGenocide #SouthAfrica #SOS"
"Farmer stabbed to death in attack, Tulbagh #SouthAfrica

-Martin Louw(59), was stabbed to death in his farmhouse on Wed 14 March 2018.

-This was the second farm attack on Wednesday. Earlier a woman(62) was attacked in the Moorreesburg area.

-Fortunately his wife was not at home during the attack.

-There have been no arrests

"
"Plus all this...... Q ......NONSENSE

NO WALL

ILLEGAL ALIEN LAWYER ON COMMIEFORNIA

NO FUCKERS IN DC IN PRISON

OH YA...SOMEBODY LOST A PENSION...OR

SOMETHING

FALSE FLAGS EVERY OTHER DAY NOW

NO  MAYORS OR SHERIFF'S ARRESTED 

FUCK.....I GOT 100 MORE...GIVE ME A MIN😎"
NAH........WE JUST HATE JEW PARASITES😎
"STILL SUPPORT TRAITORS LIKE ISRAEL

I FUCKING DONT.....FUCK ISREAL"
"You know what makes Me Puke....?

THAT JEW TRAITOR FLAG"
"Banned by Facebook, Twitter, tumblr, YouTube because I’m a racist hater bigot homophobic anti Semite fascist holocaust denying right wing scary fucker &amp; white.

Well, that’s what (((they’d))) like you to think.

In reality, just a filmmaker of the most censored documentary in history.

You watch, you decide.

"
"Achievement unlocked!

Special thanks to  for making this possible."
"Reminder that right-wingers don't engage in violence until after taking political power. 

We prefer it to be officially sanctioned. 

Anyone telling you to do something stupid is probably a Fed. 

"
"Does being a National Socislist (((Nazi))) mean you are a hater?

"
EVERYONE LAUGH....IFIFIFIFIFIFIF
Commies
Richard Spencer inviewed by some isreali paper.....was pretty Good...Altright youtube
"Spencer interviewed Video AltRight Youtube...by that Jew yesterday...1 hr

Was pretty fucking GOOD...."
THANKS JEWS😎
#Hgyjigt
Ooooooo. ....I know this ONE....JEWS
"According to Alexa rank Gab is on the verge of overtaking Minds.com on the global rank. We're fans of minds too but credit where credit is due.

Well done guys, incredible progress, next stop Twitter!

#AltTech update

"
"RACISM AGAINST WHITE PEOPLE AND HATRED OF WHITE MEN, HOW IT'S DESTROYING CANADA

"
"As many as 100,000 non-US citizens were eligible to vote in the recent Pennsylvania 18th Congressional District race—won narrowly by Democrat Conor Lamb—and it would have taken only a tiny fraction of that number to vote to have swung the election  "
Laugh Factory😃😃😃😃😃😃😃
Daily Reminder that Niggers are Sub human
Thanks Jews
"Re post if you think these Bastards should be hung drawn and quartered

#SpeakFreely

#BanIslam"
Thanks Jews
I love American girls
This is what rap music does to you it rots the brain
YEAH.........I MADE IT !..😍
#Yesalljews
"""HOAX ME GENTLY"".....😍😘😙😗😚😙😗

CLASSIC....😎

"
"HOAX ME BABY ....HOAX ME !🤣.....

Sweet Boy Chris Hurst is MY FAVORITE😍

"
"Friendly reminder that YOU are the first responder.

Police are not obligated to protect you. 

Even if you have a restraining order."
The White Man created the greatest cultures and society’s in history. It ok to be proud White Man. It’s ok to reject White guilt and claim you history and heritage.
THANKS JEWS😎
Happiest Dog on the Planet.......
Or Walk over to the telLIEvision
"I Know its hard to believe how bad Weve All

BEEN LIED TOO....IT SUCKS.....BUT...KEEP DIGGING.....#TGSNT.....TRUTH HURTS

THANK ME LATER😍"
"Let’s help this hero who served on LST 218 find his mates. 
REposting can go a long way."
"Greg Jarrett: Comey Appears To Have Committed At Least 6 Felonies  

#McCabe

#TheCoup"
JEW TRAITOR BASTARD
"California is now comandeered by an ex-illegal alien who brought his Mexican family illegally here, and who today, is imposing local illegals in our local government. Not to speak of GRAND THEFT on CA taxpayers: This must stop!

"
"FOR ALL THE IDIOTS CALLING TO BAN GUNS

I SAY BAN THESE IDIOT SERPENTS 😎"
STILL WAITING.....AND WAITING AND WAITING.....ZZZZZZZZZZZZZZZZ
"Snuggly blanket puppy pics!?!?!

Don't mind if I do....!"
You fuckers....Lol
Im IN...😍😄
who let the dogs out
"Did you know Adolf Hitler was one of the earliest animal rights activists?

His German Shepard, named Blondi, appeared in many National Socialist films.

Blondi died with Hitler and his wife Eva Braun in the  Führerbunker.

RIP. Gone but not forgotten."
Next time show the Pool...the Library...and the concert hall with the Piano....#TGSNT
HEY😍
"Brothers, be grateful for the challenges that lie ahead. A world without challenge is a world without a chances to strive, to overcome, to excel. We face great challenge, therefore we are among some of the most blessed men in history. Be thankful for challenge, for challenge is a man's opportunity to forge himself into something greater.

Hail Victory"
"""Adolf Hitler's Warning"" by  "
"Putin talks about solutions for their demographic struggle, including financial support for new mothers, lower mortgage rates for new families, while taking care of the older generation.

Can you believe how racist that is?

None of their plans include importing 70-IQ Africans and Muslims.

Disgusting..

"
"Jewed Taylor also has a middle initial, unknown by most, which is C. The ""C"" stands for Cuckold. So, for the record, his full correct name is: Jewed Cuckold Taylor."
This is the best thing I have ever done 
"HITLER WAS RIGHT TO TAKE THEM FROM

THE JEW TRAITOR COMMIES...#TGSNT"
MY LOVE 😍
"NEVER EVER EVER EVER EVER ANSWER THE DOOR 

they don't need to use a phone, gas, a dollar, etc

NEVER ANSWER THE DOOR NEVER TALK TO THEM

they are only setting you up....the violence is what they love...the robbing is an after thought

they are not on a work crew #DMTBKA

"
"THE WORLD IS A MESS...THATS 4 SURE...😥

THIS CAN HELP US ALL....#TGSNT

THE GREATEST STORY NEVER TOLD....

THANK ME LATER😍"
He had Too.....ONE BIG ASS LIE
"WONDERFUL JOB ON BREXIT PARTY...

YOUTUBE"
"A Message to All  Fans. 

"
"Sign the petition 

 

#southafrica #nofarmersnofood #whitelivesmatter"
Luckily we have the internet now.
"GOD DAMNIT.....SIGN THIS MF ALREADY 

😍🤗🙂☺😋😋😂😊😉😑😶😚😑☺😚😊😙"
"Our Governments are "" WHITE TRAITORS""

"
No more brother wars.
"The day is coming when all whites and Christians are going to thank God we have guns or wish that we did. There is no government on Earth that is not our enemy, because all governments are under the control of Satanic Jew billionaires who have evil intentions towards us."
"The Collusion is Confimed Finally.......!

All these False Flags In Florida and Texas For the Last Several  Years.....Is to Finally FLIP

THEN TO A BLUE STATE.....AND WE FINALLY LOSE THE COUNTRY TO THE COMMIES😎"
Thanks JEWS......MFerz
"Jez Turner discusses Nick Griffin's new 'book'; and more, on Radio Aryan.

Or, if you are somewhere which denies access to Radio Aryan, it can be heard on youtube. 


"
"BEST PODCAST GOING....BREXIT PARTY😎

"
"Kike Exposed...Johnny 

HAPPY ST PADDYS.....NIGGER"
Lets see....A free for All...just just the nearest Jew financed Boat.....how else they swimming ...lol
"Hahahahahahahahahah

HAPPY ST PADDYS DAY.....IM TRUE 

IRISH GERMAN.....I WONT HOLD MY

GREEN BREATHE"
"NAME THE JEW OR FIND A COASTER

....JEWS FOR HITLER....GRASP....LEARN SUM

THIN...JFH....YOUTUBE"
Ill say This ....Moving Forward....YOU DIDNT CHOSE THIS...NOR DID I....BUT ...IM WITH YOUR PLIGHT 100% BROTHER😍
"Machinist by Trade here....I do understand

Damage....Ive fucked up many my  OWN bins...lol"
Baked just Returned....LOL.....
"James....Ill be Real honest.....YOU  Brothers

Better figure out HOW....TO FIGHT THE JEWS WITH ROCKS AND BOTTLES OR ELSE"
"Gene Simmons Loves his Goyim

Ive heard him say it....lets not mix words....even from the 70s"
Itz happening...LOL
Not buying IT....JEWS ....SUPPORT COMMIE TRASH PERIOD...INCLUDING FAG PUTIN
"NAME THE JEW ...OR YOURE WITH THEM

WE ARE NOT"
"So 2 mferz That actually DONT GIVE A FUCK

GOTCHA"
HEY TROLL AWAY....FIT IN WHERE YOU SHIT IN....THAT BEING SAID.....DONT FUCK A ROUND...HAPPY PADDYS
FOOD.WATER.SHELTER.ARMS.MEDICINE
Any new Tactics
"I KEEP SAYING THAT......BUT ...EVERYBODY

INCLUDING MY FAMILY JUST BALKS....

IM STUMPED"
YOU MIGHT BE THE DUMBEST NIGGER WHO THINK WOKE IS.....FUN.....😍
"Ill stay subbed to Fight the Fight.....TURD

HAPPY PADDY"
WITH #JEWS YOU LOSE
ABSOLUTELY WRONG....THE FED WAS BASED ON JEWISH PILFERING BECAUSE....WE AMERICANS BELIEVED IN FAIRNESS AND LOVING THY NEIGHBOR.....HOWS THAT WORKING OUT
"And to think Turd was WOBDERFUL....

OOOOOPPPPPSSSSS"
"Wait....What....So ....The Lieing Wars of Mass Replacement is Not for israHELL.....IM LOST

GROW A PAIR NIGGER TURD"
Happy St Patrick’s Day from 
"Obstacles do not exist to be surrendered to, but only to be broken.
Adolf Hitler,

Mein Kampf

"
FOOD.WATER.SHELTER.ARM.MEDICINE
I Believe....Since hes Done....He should Sing or is Singing....because.....You Know....
"TRUMP WINS 2016 ....LOL

HAPPY ST. PATRICK'S DAY FAM

"
"HAPPY SAINT PATRICK'S DAY FAM

"
SO.....ALL OF WASHINGTON...GOTCHA 😍
NAME THE JEW...FUCKSTAIN
