It’s like this.
Posting pictures of looters is a (((hate crime))).
It’s true you know.
Every single time.
“A nation of immigrants “ is a Jewish half truth. Before 1965 we were a nation of almost all immigrants being European Christians.
Every single time!     
The Jew cries out in pain before he strikes you.
Jews being Jews nothing new.
Scholmo attended a Greatful Dead concert apparently.
Glad it’s all settled now.
That’s cause they’re busy making ropes into nooses.
Or a movie on the USS Liberty.
Communism is a Jewish creation.
Why are niggers afraid of the Klan? Jews kill far more niggers with their planned parenthood.
Wise advice
ww2 antique meme
The fake news is controlled by Jews just like Trump.
Kikes doubling down.
The Germans had internment camps for commie bolshevik Jews.  Just like America had internment camps for the Japanese. The only real difference is the propaganda.
Jews write their own memes.
Here we are.
It’s true you know.
And you think your government and Hollywood told you the truth about the “Nazis “ ?
Appears orange man really is bad.
It’s true you know.
Nothing but a (((shittalker)))
Not sure what’s going on? 
Remember the Simon Sez cop?    
Free Saint Roof
At a minimum. When they control the media they control the narrative.
Wise advice for our time.
Jews rape kids.
Meanwhile in Palestine.
Yep
Goyim go fight the enemy of the Jew for your freedom.
Here we are.
When Jews control your media.
If you post things about troops fighting for freedom and know about South Africa you are a absolute brainwashed retard and need to educate yourself.
Always hear about their holohoax but crickets about the millions of Christians killed by Jewish communists.
Jews did this. Communism is a Jewish creation.
Member lock her up and build a wall?  
Trump just now finding out about South Africa? Guess his Jewish handlers forget to tell him?
Troops not only fight for muh Jews they fight for shekels.
Even after all the schekels.   
"Name the Jew by calling him out. 

The easiest ways is to pick a Holocaust tale &amp; actually look it up yourself. 

Its not a nice feeling finding out that you’ve been duped, so break the cycle, refuse the lies, expel the Jew.

Millions around the World are embracing the truth, that Hitler Was Right. 

Find out why?

"
Apparently they dindu nuftin .   
Anybody remember “lock her up or build a wall”?
Who could’ve seen this coming?
Extremely obvious at this point.
Every single time.
It’s true you know.
"If your don’t like Israeli control of your government, just vote it out next time."
In honor of Southern nationalist warriors as we approach 8/12.
It’s true you know.
"Lets see - Trump throws the alt-right to the wolves. Then the craven part of the alt-right follows Trump's example and throws James Fields to the wolves. James Fields who was lawfully following instructions to leave the area and who had a traffic accident caused by people engaging in unlawful assembly.

If you can't defend an easy case like James Fields, how will the alt-right stand forthrightly against more difficult situations?"
God Bless our Charlottesville Vets. In honor of last year.
"Being against the ""elite"" is anti-semitic.

#ZOG"
#110
Every single time.
Man have things (((changed))) in a century.
(((Public square))) 2018
They’re the only (((democracy))) in the Middle East Goyim.
So obvious today.
Minority’s vote along racial lines but the Jewish media says “diversity is a strength “.
Why was the chimney built after the war?
"These are the IDF t-shirts Pat Little often mentions.

Jews are not White.  They do not think like us.  They have no honor. 

"
Germany did nothing wrong.
These cities were chosen purposely because they were the most Christian in Japan.
A friend from South Africa told me we are only a decade behind this in the USA.
Not like we could use 38 billion here or anything.   
I’d also bet original poster is a kike.
Thanks Jews
"New York Times Editorial Board Hires Anti-White Racist Sarah Jeong

"
"Hail  

"
Every single time.
Kenyans on Gab.
Pesky facts.
(((Democracy)))
How can white supremacy be real when Jews control the press?
Patrick Little J walking  
It’s true you know. Equally is a false (((god))).
Really think they fought for what we have today?
One year anniversary fast approaching.
Did you know Mohamed was a Jew? 
Christ naming the Jew.
It’s true you know.
Jews
Every single time.
Learn from history.
The last racist 2055.
Coming to a theater near you.
Obama’s Jewish mother.
(((Democracy)))
“Every single time”.
Civil War?
"""Radical Agenda S04E000 - Just Getting Started"" by  "
What a dying empire looks like.
Need to get these numbers higher.
It’s true you know. Except the ((( open borders))) part.
Or you could say Jew ve Gentile.
Welcome home. Happy you didn’t lose your firearm rights. Crazy year! Was a few feet from you in Lee Park while you were washing pepper spray out of your eyes. I’m more proud of our C-ville vets then my time in the (((USMC))). Thanks for your service Brother!
"shall we commence the BlackWave Revolution now?

...or wait until it's too late?"
Member lock her up and build a wall? You member.
“You are of your father the devil “
#thanksjews
Nothing to see here Goyim.
It’s true you know.
Jews lying. Some things never change.
NAACP was created and run by Jews till the 1960’s.
So obvious yet so many can’t see?
Ol Uncle Joe’s Army. Gramps fought to help destroy Europe for the Jews.
Easy enough to understand.
"I am proud of these men and women, and all who have stood in the streets with us over the past year or so, when the stakes got higher and the action got hotter!"
"Sow the wind, reap the whirlwind . . .

"
"The Bible is similar to the Constitution, you don’t really need the Supreme Court nor religious scholars to interpret it for you."
It’s true you know.
You can bet they also don’t have any problem with communists.
Happy Birthday to the greatest military mind in history.
At what point do the Goyim know?
Thanks jews
I wonder if he had “Boomers” in mind?
Imagine that.
Fantastic scripture and God bless Gab for allowing the exposure of (((them))).
109 times in history these rats have been kicked out of nations nothing new under the sun.
Thanks Jews.
Thanks Jews.
Highest decorated Marine in WW1. (((“The rich”)))
It’s true you know.
Hmmm?   
Colt’s
"BREITBART: “Number of anchor babies in Calif

now double the population of Wyoming.”

Hmmmm..wonder what that’s all about...🤔."
The real reason you don’t or won’t get a wall.
This Nancy Pelosi plane distraction supposed to help the Goyim forget about the wall we’re not getting?
The Empire hates you!   
“At least we defeated the Nazis.”
With Jews you lose. Feminism is as Jewish as usery.
Don’t forget you have a Muslim problem because you have a Jewish problem. It was not Muslims who wrote our immigration laws.
Wonder what god this chosenite is referring too?
The original intention of the Founders has been lost or destroyed by the war between the states. Before your state was your country. Vicksburg Mississippi didn’t celebrate a 4th of July from 1863 to 1945. Those folks knew what was lost from a voluntary union to a union of force.
While we STILL have open borders at home.
Freedom
Happy 4th
Happy 4th.
What are you celebrating? Fag marriage? Destroyed Bill of Rights? Open borders? Becoming a minority in the nation your ancestors settled?
Happy 4th Goyim.
You’re (((being played))).
Taking back Dixie!
I would trade the empires freedom for King George’s tyranny.
And they all were mostly white and Christian prior to the ((( 1965 immigration act)))).
Reality 
Since Woodrow Wilson had Colonel House they all have had their (((advisors))).
Every single time.
This is Judaism’s end goal for the Goyim.
The camps you never hear about.
Thanks jews
Learn from our ancestors.
100% today
Imagine that.
At least we defeated the “Nazis “.
Interesting how history repeats over and over again.
89 countries 109 times learn from your ancestors.
Nothing to see here Goyim move along.
Truth in advertising.
Applicable in all white nations. You have a Mexican/Muslim problem because you have a Jewish problem.
The holocoaster.
Appears he cares about other walls
That’s where you’re wrong kiddo.
“Proud to be a American where at least I know I’m free”
It’s true you know.
Jews always change their names to be more subversive and blend in. Please quit insulting my superior IQ scholmo.
You know if y’all bathed more maybe typhus wouldn’t have killed so many.
Why don’t your people take showers or baths? Is hygiene only for the Goyim?
So embarrassed to admit it. Lmao
You lie again there is no tribe more inbred then jews. Your families will do anything for a shekel including marriage of cousins.
"Yawn, Jewish double speak again. People have to work and pay taxes and are far too busy. Again you are of your father the devil. Jew are the only ones Christ ever got mad at and who he throw out of he Temple. Jews are subversive parasites, again why y’all been kicked out the of 89 Nations  109 times."
Exactly who needs the parroting Kike media? Don’t you have some rock throwing Palestinians to kill instead of trolling scholmo?
"At leas you admit it kike. Europeans don’t want it but satanic Jews have taken over their government and media. This life is a blink of the eye and eternity is a very long time.  As the Bible says , “ you are of your father the devil and his works you do”. We at least are comforted by how the story ends.  😉
"
You’re a lying Jew. dont need memes and YouTube if you’ve visited places like Munich or Stockholm recently. Yet Israel remains a ethnic state?
Next you will be asking for evidence the the sky is blue. You’re a troll scholmo.
Who does the United States owe their 21 trillion dollar debt too? Who has been the dominant military in Europe since 1945? 
You asked for evidence of Jewish string pullers and I gave it. European Union and banks push it too and again controlled by kikes. Next you will tell me the Rothschilds don’t have any power. Typical Jewish double speak no wonder your tribe has been kicked out of 89 Nations 109 times.
Look no further then the Federal Reserve which isn’t Federal or a Reserve and it wasn’t created and controlled by Norwegians. Again proving yourself a retard or a Jew troll.
(((Puppets))) look higher up at the string pullers retard.
Can’t be telling anyone who is flooding Europe with Muslims.
United States destroyed this to make Europe safe for communism.
At least we defeated the Nazis.
I loved that show too. 
Ever research who created the NAACP?
1927 Thompson
K98 &amp; 1903 Springfield.
Beretta 1201FP bought used former owner Maryland Highway Patrol Have this in a 28 inch hunting version too.
Played/Jewed
So how’s the wall coming?
Coming to a theater near you.
Things the Jewish media wont report.
#MAGA fantastic first step.
Shekels
If you don’t like (((them))) just vote (((them))) out next time.
Interesting how that works?
M76 basically a beefed up AK47 in 8 mm Mauser.
It’s true you know. United States only a decade behind.
Ship niggers to Sweden but keep Israel a ethnic state?
If you don’t like the Federal Reserve just vote them out next time.
Thanks Jew.
In every white nation but not Israel?
Nothing but the military flag of the Jew world order.
Every single time. Cohencidence?
Has never worked.
Foreign policy explained so easy a child can understand.
Kicked out 89 Nations 109 times. Wonder why?
Lmao
Not name your tribe faggot.
Warms the heart seeing this and also the ovens.
Updated version.
Actually they want you too.
And don’t count machine gunning the lifeboats.
Stockholm syndrome
Everyone does.
It’s true you know.
So if jews are the chosen people why did they twist the Bible with their creation of the Scoefied Bible?
"You hear people say “Hitler was a evil dictator that was trying to take over the world “, yet these same folks fail to realize the United States is still in Germany and Japan 75 years later? Guess you never know when the kamikaze or Nazis will return?"
Who knew blacks are inferior?   
"“The foot soldiers might be black, brown or whatever but the generals are all Jews “.  Keith Alexander"
The empire hates you.
What will happen when whites are a minority here?
Y’all paid for the kikes wall too.
They own Trump.
I can hear Lee Greenwood.
Pretty obvious.
It’s true you know.
Cohensidence?
Only one side fought communism the other was a enabler.
Traitor!
Every single time.
They don’t want the Goyim to realize communism is Jewish.
You will never vote this tyranny away. Silence from ALL politicians.
"DO THIS NOW! 1 DAY LEFT!

                   

FINO ALLA VITTORIA!"
Shabbos Goys.
These kike trolls on Gab don’t even need a yellow star they’re easy enough to spot without them. High IQs lmao.😂
Vote Little win big.
When your history teacher lied and passes on your countries propaganda as truth.
The (((death camp))) guards. #lyingkikes
“Hate crime “ is a Jewish invention.
(((Dieversity)))
It’s true you know.
“Ol Uncle Joe”
(((Unnatural)))
And here we are.
Proven true! Jewish Bolsheviks were the real enemy.
Kicked out 109 times but never ever their fault?
It’s true you know.
Reality
Read the 2nd paragraph of the Declaration of Independence. It’s past time Goys.
You bet your ass they will.
It’s true you know.
Thanks Woodrow Wilson and the (((Federal Reserve))).
Reality white man. Trump ain’t going to save you.
The last troops fighting for the Founders-intent.
Wake up to reality white man.
It’s true you know.
It’s true you know.
Meanwhile in Israel.
(((I’m proud to be a Murikan where at least I know I am free.)))
Imagine if this was done to Jews?
"That was a good talk.

Hail Victory Patrick!"
"You can thank the 1965 immigration act for this that’s ensured most immigrants will be non white and non Christian, and it was brought to us by Jews."
In a world where ethno states are frowned upon Israel is allowed to have one?
Thanks Jews!
"Founders didn’t even believe in having a standing army , there is no way they would have fought endless wars for Christ killers the synagogue of Satan."
Vote Little win big!
It’s not Norwegians censoring.
MAGA is a joke while this exists.
“Lock her up” right.
"Woodrow Wilson had Colonel House, Trump has Jared."
That is because Communism is Judaism.
Thanks Jews.
It’s true you know. Also the Muslim problem is instigated by Jews.
"If their lips are moving, fake news is Jewish."
Talmudvision
Turn it off!
As likely as Mexico paying for a wall.
Jewish Communists
"Nope, saying the kikes are snakes."
It’s true you know.
How many Hollywood movies have you seen on this?
Just another Jewish puppet.
Interesting how these chicken hawks have absolutely no problem sending your sons though.
And of course the Jews.
"Looks like a wholesome lot, today’s Boy Scouts apparently want to distance themselves."
17+ plus fighting for your freedoms?
The cancer crept in in 1913 under Wilson with a 21 trillion debt it is now terminal.
Don’t forget the diversity it brings former white nations.
If the Goyim knew.
No wall for you Goyim but you got to pay for one for “muh Greatest Allie”.
"Since our troops are going to be busy apparently fighting  another war for the Israelis , maybe they can protect our border? They are fantastic at protecting theirs with a wall we paid for with our tax dollars."
Thanks Jews
#irandeal
    Maybe they can start their own program modeled after the Hitler Youth?
Muh (((Fox))) news.
Locking up 89 year old grandmother.
When Jews control government.
#TraceyWalls2020 #DissolveUSA
It’s true you know.
Thanks for the add!
Just like Christ when he throw them out of the Temple.
"Although when it suits them to do so the Jews will sometimes claim to be just another white ethnic group, the reality is that their identity consists primarily in being anti-Christian. Being a Christ hater is not only part of being a Jew, it is the primary component of Jewish identity.

Don't believe me? Ask an Irishman, a Swede, an Italian or any other white European if he is a believer in Jesus Christ. He will tell you yes or no, and will either volunteer a reason for his belief or unbelief, or will give an answer if asked. But he will not reply, ""No, I'm Irish, or ""No, because I'm a Swede"". Nor will he state something like ""Italians don't believe in Jesus"".

But ask a Jew the same question (whether he considers himself to be ""secular"" or ""religious"") and probably nine times out of ten, he will either flatly answer: ""No, I'm a Jew"" or he will simply answer ""No"" and when asked for the reason of his rejection will either comment ""because I'm Jewish"" or will at least mention his Jewish heritage as one of his primary reasons. In other words, in his mind Jew = non-Christian. You are either one or the other. You are one of ""them"" (Christians) or you are one of ""us"" (Jews), but you cannot be both. This, of course, is not true of any other European ethnic group."
"Help me out here. Russia is Communist, no? Russia is/has been Christian Orthodox since forever, yes? How does Patrick's meme square with this?
And, holster your flamethrowers--I'm a WASP."
You and your 30 followers? Lol fuck off faggot kike.
Grandpa was duped.
Voting harder doesn’t work.
Pretty obvious at this point.
One side fought communism the other helped it.
Vote #TraceyWalls2020 Together we can #DissolveUSA
King George couldn’t even imagine the tyranny.
It’s true you know.
Communism is also a Jewish creation.
It’s true you know.
Founders vs today’s (((brainwashed))) and (((controlled))) politicians.
Meanwhile at the United Nations.
"Ist die Wahrheit nicht frei, ist die Freiheit nicht wahr."
It’s true you know.
If your child got kicked out of 109 schools at what point would you blame your child?
(((Fake news))) isn’t Norwegian.
Yep most in these staged photos were actually Germans sadly.
It’s true you know.
United States government forces sodomite marriage on the states but folks talk about Hitler being tyrannical?
Gas chambers don’t have wooden doors.
US Government far more tyrannical then King George could even imagine.
Still have WIDE OPEN borders at home.
(((Rothschilds)))
Over 3000 people in Great Britain arrested last year for social media posts and folks still bring up the Nazis?
Honest look at Europe today proves these folks back in 1941 we’re proven correct.
Thanks Jews.
"Hmmm? Start war over Germany invading Poland, then give half of Europe to the Soviet Union? You been (((lied))) to Goyim."
Fuck this satanic globalists mother fucker!
Interesting quote that has came true.
Don’t forget that most of y’all are on Gab because subversive Jews have censored your speech on Facebook or Twitter.
The holohoax is about shekels Goyim.
Imagine the native people in control instead of subversive Jews.
A sign?
Thanks Jews
It’s true you know.
Read the 2nd paragraph of the Declaration of Independence.
It’s true you know.
Not created or run by Norwegians.
Why the Jews hate it.
Over a hundred years ago. How much do you think they control now? Really think Trump has power over this tribe that has controlled the purse strings since 1913?
Happy 129th Birthday!
(((Greatest Generation)))
They don’t make it to the White House if not (((controlled.)))
Hmmm?
Scoefield Bible
It’s true you know. Just another foolish war for the Jew.
Words of wisdom.
What are the chances of 2% of the population controlling all this?
Helping you to become a minority in the land your ancestors settled.
"Ahh, the good ol days."
He also bombed 7 Muslim Nations while POTUS.
If your child was kicked out of 109 schools at what point would you blame your child?
They should pay for it we paid for theirs.
(((Trump)))
Govt Flamers
Reminds you of another (((tribe))). We could learn from the Japanese.
"Assad protects Christians,Trump protects Jews. Yet we still have open borders at home."
Kikes controlled the media then too. This statement most likely played a role in his death.
It’s true you know.
(((War)))
“The Goyim know”.
Fool me once shame on you.
Dated but still applies.
Applicable to Syria today.
It’s true you know.
“At least we didn’t get Hillary “ 😂
101
The empire hates you.
If you don’t like the ATF just vote them out next time.
The empire hates you.
It’s past time. What value is a empire that’s making you a minority in the lands your ancestors founded?
Obama considered banning bump stocks but thought it was too unconstitutional.
Dimwits been saying Trump 2020.  Trump is just Hilllary with. (((R))) next to his name.
They’re no political solutions. Trump is Hillary with a (((R)))next to his name.
MAGA?  😂🇮🇱😂🇮🇱 It’s MTGGA Make The Goyim Gullible Again. Why would Trump build a wall? You dimwits already saying you would vote for him in 2020. Well at least you won’t have pesky bumpstocks to worry about anymore.
(((War)))
“The Goyim know”.
Fool me once shame on you.
Dated but still applies.
Applicable to Syria today.
It’s true you know.
(((War)))
“The Goyim know”.
Fool me once shame on you.
Dated but still applies.
Applicable to Syria today.
It’s true you know.
(((War)))
“The Goyim know”.
Fool me once shame on you.
Dated but still applies.
Applicable to Syria today.
It’s true you know.
(((War)))
“The Goyim know”.
Fool me once shame on you.
Dated but still applies.
Applicable to Syria today.
It’s true you know.
"The company detailing your car called - they can fix the windshield, but no guarantees about getting the smell out...  

   "
Hmmm? Maybe the Jewish storytellers have lied to us?
It’s true you know.
Actually care more about the duel citizen Israelis who run the government but that answers the question on the meme.
Nothing new under the sun.
Rev 2:9 &amp; 3:9.
" in honor of this week’s show I have to share my favorite, and extremely relevant Shabbos Jones meme. 

You’re definitely back on top form and tearing it up!"
Past time to fire up the ovens.
Jewish run Google obviously hates Christians.
Americans need to accept reality. Voting harder won’t change.
How many movies about these crimes vs the Holohoax  from (((Hollywood)))?
What a dying empire looks like.
Everywhere but Israel.
What a dying empire looks like.
The United States empire if far more tyrannical then the Brittish of King George.
Simple answer why MAGA will never happen.
Happy Good Friday!
Why Jews hate it.
"The more you study the #Holocaust the more you understand that it is not only false, but an intentional fraud. The evidence for fraud keeps being exposed and yet the Jewish world keeps pretending that the evidence is irrelevant and that somehow the big picture remains true despite all the contradictions."
Ironic similarities!
It’s true you know.
Judaism is communism.
"It’s not Nazis coming for your guns today its communists who are mostly organized by Jews. These are the people Hitler was fighting,the globalists."
It’s true you know.
"Enough of this Jewish Communist horse shit , I’m going to the range."
This march is staged and planned just like most ot the (((public skool))) shootings absolutely nothing organic about them.
Never give up your firearms!
The empire was lost before your grandparents were born Goyim.
Just like Charolettesville with police protection.
Nothing is new under the sun.
No money for the wall from the GOP controlled government but there is 500 million for planned parenthood. Vote harder silly Goys.
Woodrow Wilson sold out the United States to Jewish bankers in 1913. Voting harder doesn’t work and Trump ain’t going to MAGA.
It’s true you know.
“Greatest generation “???
No wall and this cuck is already banning guns.
(((The state)))
Thanks jews
The more things change the more they stay the same.
As Smedly Butler said. “War is a racket “. They fight for Jews and bankers while we have open borders and are becoming a minority in our own lands.
Every single time.
"Luggenpresse, with Jews you lose."
Meanwhile in France.
Just the facts.
It’s true you know.
When Jews control your government.
Hitler never had 6 million Jews under his control.
It’s true you know.
Nothing but silence  from Jews about their historical role in the slave trade
Sadly fake news.
Why not?
"Interesting how the United States addresses any problem in the Middle East, but ignores the plight and genocide of whites in South Africa?"
Who needs a AR15 to hunt deer?
While borders purposely left wide open at home.
It’s true you know.
Fake news comes from Jews.
Jews control ALL the governments in the west.
South African future.
It’s true you know.
It’s true you know.
Jews are doing the same thing to the United States as they did to Russia during the Soviet Union.
Questioning the holocaust gets you a 5 year prison sentence in Germany.
It’s true you know.
It’s true you know. Americans have decades of Jewish brainwashing. Do your own homework and see who is always at the root.
They used Diesel engines in underground mines because it doesn’t. Lying Jews they never learn.
If only the Goyim really knew.
"Things start coming together after you learn Ike was a Jew, and why Patton was killed after admitting we fought the wrong enemy in WW2."
Ever wonder why Saudi Arabia wasn’t attacked after 911? Or why they’re such a great “Allie “?
If you kikes want a echo chamber why not stay on Facebook?
"He was also 14 years old at the end of WW2 , the story is most likely just another Jewish falsehood."
It’s true you know.
Zuckerberg isn’t Norwegian and he definitely isn’t a Nazi.
"This censorship isn’t coming from Nazis, it’s coming from Jewish Communism."
I’m  I the only one that remembers Dicks quit selling black guns a few years ago?
"If your country wasn’t controlled by Jews, the troops would be guarding our borders instead of ones thousands of miles away...."
NRA is to gun groups as Facebook is to social media. GOA is the no compromise gun group. They would never support communists like Harry Reid even if he was OK on gun rights. NRA also seems to have a policy once they have lots invested in a politican they continue to support even if they are rotten with the rest of the Bill of Rights.
Apparently nobody remembers when the NRA gave hundreds of thousands to Harry Reid. Research GOA Gun Owners of America.
"Founding Fathers fought for freedom of speech and put  freedom of speech 1st in the Bill of Rights, Jews are working to destroy our God given rights."
Florida’s first Jewish sheriff
Voting harder don’t work Goys.
It’s true you know.
No worries here Goys.
"Macron must go, ironically."
Appears the Goyim know “Macron whore of the Jews “.
So what flag will the folks wanting to keep their firearms fly when the Empire comes for them? Or will they have the flag of a tyrannical empire still to represent them?
"New Christmas Designs Now Available on The Goy Store! 🎄🎁

Order Yours TODAY!

www.GoyTalk.com/TheGoyStore

Direct Link to Rockwell White Christmas Shirts &amp; Hoodies:  

   "
If you don’t like the U.N. just vote them out next time. Same with giving Israel 38 billion.
It’s true you know.
Both parties are controlled by a foreign tribe.
Happy Hanukkah.
Filthy Kike Raids the Cats...
Make Africa great again! Blaxit! Negroes whose ancestors were slaves hit the lottery. Unless they were in Haiti then without whites it’s similar living conditions.
Hollywood puts out fake news just like the Jewish media.
"Time for a Welsh joke   

Cardiff Zoo acquired a female of a very rare species of gorilla. Within a few weeks, the gorilla became very cantankerous and difficult to handle. Upon examination, the zoo vet determined the problem - the gorilla was on heat. To make matters worse, there were no male gorillas available. While reflecting on their problem, the zoo management noticed Gareth, a big Welsh lad from Swansea, responsible for maintenance round the zoo.

Gareth, like most Swansea boys, had little sense, but seemed to be possessed with ample ability to satisfy a female of ANY species. So, the zoo administrators thought they might have a solution. Gareth was approached with a proposition. Would he be willing to have a sh*g with the gorilla for £500? Gareth showed some interest, but said he would have to think the matter over carefully.

The following day, Gareth announced that he would accept their offer, only under three conditions:

First, he said, I don't want to have to kiss her 

Secondly, you must never tell anyone about this 

The zoo management quickly agreed to these conditions, and then they asked
what his third condition was.

Well, said Gareth........Could you give me another week to come up with the £500?"
Want to see your future? See what’s happening in South Africa now.
"Mexican-Americans Sent Home Record $28.1 Billion in 2017



#BuildTheWall"
Talmudic controlled empire.
"Nancy Pelosi has been speaking for 7 hours about#DACA, an issue CREATED BY DEMOCRATS because of their unwillingness to enforce Immigration Laws, and a problem that will RETURN in 15 Years if we don’t FIX IT! Funny she’s never been so passionate about helping Legal Citizens  🤔"
Now you know what the “P” stands for.
Happy black history.
Sheeeeeet
"The Goyim know,         "
Nope not Hitler but a shabbos goy.
"If you want to see Libs at their worse, go to the next college campus where a conservative is scheduled to speak!"
Well Hollywood isnt run by Norwegians.
The Goyim know.
Nah just a Christian that knows the ways of the tribe that chose Barabas over Christ. Nothing new under the sun.
You people are hilarious. I really do feel sorry for you. And by the way I am also a student of the Civil War. If I was Jewish I would gladly say so but my whole family is Catholic and I was an alter boy for 4 years you pathetic small minded inbred.
I don't think so.
the world oldest magic trick this man survived 8 death camps by just plugging his nose.
MAGA will never ever happen when the satanic jooz control the POTUS.
You been jooed Goyim.
 #PatLittle latest stream please share. 1488              
Who remembers the corporate bailouts in 2008? Wonder what kind of wall those bailouts would have built?
"US Debt Clock - Script Currency Debt Clock

 

THE MASSIVE DEBT FROM THE PRIVATE CENTRAL BANK AND NOW THE MARXIST COMMUNIST DEMOCRATS COME FOR YOUR GUNS AMERIKA.  THE ROTHSCHILD ROCKEFELLER PRIVATE CENTRAL BANK RUN FORMER REPUBLIC NEEDS YOU DISARMED BEFORE THEIR NEXT FINANCIAL COLLAPSE."
Criminal statistics are racist.
"Sure hope y'all MAGA folks are still buying ammo, cause your boy aint going to do it. Soon you will see the ""Nazis"" are not as crazy as you thought maybe you will have to fight to save your race."
"Grandpa talks about normie-cons still failing to stand up for those to the right of them on Gab, when the same has already happened to them on Twitter.

"
Every single time.
Germans have nothing to be ashamed of.
"Other then Trumps virtue signaling no wall, no lock her up , Obama care. How is this faggot any better?   "
Especially with (((open))) borders at home.
This is a bad mother! How can she say she loves thos kids by dragging them for miles and miles to try and break our laws by crossing our border illegally?
Who is responsible for whites becoming a minority in the lands their ancestors founded?
Why don’t they learn how to draw one before they do this? 100% that nigger did this.
"The banning of Patrick Little on GAB is atrocious

GAB was a free speech platform

So many accts are gone/ banned for wrongthink

I just don't get it Andrew  .....what the hell is going on?

If PL is a nutter then let him speak and expose him, why hide him?

  can you smash the parasites controlling Mr. Torba's brain?"
Another Goyim knows.
“From End The Fed to gas the kikes” Grandpa Lampshades
Everyone calling Chuck Schumer out for being a democrat but no one seems to realize he is just being a Jew.
It’s true you know.
Meanwhile in Israel.
Good question?
He is a fraud Goyim.
Questioning history in Europe can land you prison.
"Fake news is Jewish news, but we will never hear that."
A little history lesson Goy.
